"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"12323","22-0082898",0,"2022-12-02","10:13:52","131","Passenger vehicle fire",2000,0,"06","DO","Dorchester","02125","965","Vehicle parking area","1100","","MASSACHUSETTS","","AVE",": @STOP & SHOP - 1100 MASSACHUSETTS AVE,","","","","",2000,1
"12419","22-0083066",0,"2022-12-02","20:58:28","118","Trash or rubbish fire, contained",2000,0,"03","BO","Boston","02111","599","Business office","","","HARRISON AVENUE","","EXT","","","AVENUE DE LAFAYETTE","","",2000,1
"12420","22-0083067",0,"2022-12-02","21:04:00","118","Trash or rubbish fire, contained",2000,0,"03","BO","Boston","02111","599","Business office","99","","CHAUNCY","","ST",": #WYN3354","","","","",2000,1
"12430","22-0083079",0,"2022-12-02","21:53:57","131","Passenger vehicle fire",30000,2000,"03","BO","Boston","02110","963","Street or road in commercial area","400","","ATLANTIC","","AVE","","","","","",32000,1
"12438","22-0082590",0,"2022-12-01","00:15:21","111","Building fire",0,10000,"06","SB","South Boston","02127","429","Multifamily dwelling","245","","MONSIGNOR DENNIS F. O'CAL","","WAY","","","","","",10000,1
"12599","22-0082405",0,"2022-11-30","10:11:53","111","Building fire",5000,5000,"04","BO","Boston","02118","429","Multifamily dwelling","89","E","DEDHAM","","ST","","","","","",10000,1
"12728","22-0082097",0,"2022-11-29","02:21:22","162","Outside equipment fire",2000,0,"10","WR","West Roxbury","02132","429","Multifamily dwelling","1208","","VFW","","PKWY","","","","","",2000,1
"12893","22-0082341",0,"2022-11-29","23:10:49","113","Cooking fire, confined to container",5000,0,"04","BO","Boston","02116","439","Boarding/rooming house, residential hotels","119","","BERKELEY","","ST",": #AFA7587","","","","",5000,1
"12985","22-0082012",0,"2022-11-28","16:04:14","111","Building fire",500,0,"12","MT","Mattapan","02126","419","1 or 2 family dwelling","69","","HAZLETON","","ST","","","","","",500,1
"13186","22-0081491",0,"2022-11-26","11:48:12","113","Cooking fire, confined to container",500,500,"09","RX","Roxbury","02119","429","Multifamily dwelling","757","","SHAWMUT","","AVE","","","","","",1000,1
"13392","22-0081020",0,"2022-11-24","00:31:48","131","Passenger vehicle fire",15000,100,"12","RS","Roslindale","02131","900","Outside or special property, Other","163","","NEPONSET","","AVE",": @CEM-SAINT MICHAELS CEMETERY","","","","",15100,1
"13481","22-0081150",0,"2022-11-24","14:48:47","161","Outside storage fire",5000,5000,"08","MT","Mattapan","02126","900","Outside or special property, Other","27","","SANFORD","","ST","","","","","",10000,1
"13486","22-0081157",0,"2022-11-24","15:27:17","137","Camper or recreational vehicle (RV) fire",1000,0,"08","MT","Mattapan","02126","900","Outside or special property, Other","27","","SANFORD","","ST","","","","","",1000,1
"13500","22-0081170",1,"2022-11-24","16:49:18","112","Fires in structure other than in a building",2500,500,"12","","","02136","419","1 or 2 family dwelling","24","","GARFIELD","","AVE","","","","","",3000,1
"13501","22-0081170",2,"2022-11-24","16:49:18","111","Building fire",25000,0,"12","","","02136","429","Multifamily dwelling","28B","","GARFIELD","","AVE","","","","","",25000,1
"13623","22-0080912",0,"2022-11-23","14:02:49","131","Passenger vehicle fire",1000,1000,"06","SB","South Boston","02127","900","Outside or special property, Other","139","","ORTON-MAROTTA","","WAY","","","","","",2000,1
"13648","22-0080956",0,"2022-11-23","17:47:04","111","Building fire",20000,1000,"04","RX","Roxbury","02118","429","Multifamily dwelling","84","","CAMDEN","","ST","","","","","",21000,1
"13767","22-0080626",0,"2022-11-22","14:23:20","131","Passenger vehicle fire",6500,0,"07","DO","Dorchester","02122","960","Street, Other","","","GENEVA","","AVE","","","OAKLEY","","ST",6500,1
"13832","22-0080744",0,"2022-11-22","20:49:09","113","Cooking fire, confined to container",0,700,"09","RX","Roxbury","02120","429","Multifamily dwelling","61","","SMITH","","ST",": #PAT5310","","","","",700,1
"14071","22-0080113",0,"2022-11-20","12:42:50","111","Building fire",500,0,"09","RX","Roxbury","02121","429","Multifamily dwelling","13","","CRAWFORD","","ST","","","","","",500,1
"14097","22-0080149",0,"2022-11-20","15:44:00","111","Building fire",100000,75000,"09","JP","Jamaica Plain","02130","439","Boarding/rooming house, residential hotels","65","","GLEN","","RD","","","","","",175000,1
"14247","22-0079892",0,"2022-11-19","14:39:28","112","Fires in structure other than in a building",2000,2000,"03","BO","Boston","02108","429","Multifamily dwelling","7-17","","CHARLES","","ST",": #INS190","","","","",4000,1
"14257","22-0079908",0,"2022-11-19","15:52:55","113","Cooking fire, confined to container",1000,1000,"08","DO","Dorchester","02124","429","Multifamily dwelling","711","","WASHINGTON","","ST","","","","","",2000,1
"14315","22-0079996",0,"2022-11-19","22:27:20","111","Building fire",150000,20000,"01","EB","East Boston","02128","429","Multifamily dwelling","95","","LEXINGTON","","ST","","","","","",170000,1
"14384","22-0079610",0,"2022-11-18","12:44:00","111","Building fire",60000,15000,"07","RX","Roxbury","02119","429","Multifamily dwelling","7","","FAIRLAND","","ST","","","","","",75000,1
"14400","22-0079642",0,"2022-11-18","15:18:47","111","Building fire",3000,3000,"04","BO","Boston","02115","311","24-hour care Nursing homes, 4 or more persons","352","","MASSACHUSETTS","","AVE","","","","","",6000,1
"14561","22-0079431",0,"2022-11-17","16:32:55","111","Building fire",4000,4000,"10","RS","Roslindale","02131","419","1 or 2 family dwelling","32","","FLETCHER","","ST","","","","","",8000,1
"14689","22-0079129",0,"2022-11-16","13:12:03","111","Building fire",100000,25000,"12","HP","Hyde Park","02126","419","1 or 2 family dwelling","54","","OSCEOLA","","ST","","","","","",125000,1
"15004","22-0078659",0,"2022-11-14","14:50:24","111","Building fire",750,250,"09","JP","Jamaica Plain","02130","215","High school/junior high school/middle school","20","","CHILD","","ST",": #12-2514","","","","",1000,1
"15061","22-0078301",0,"2022-11-13","00:29:48","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02118","400","Residential, Other","11C","","WALTHAM","","ST","","","","","",500,1
"15178","22-0078494",0,"2022-11-13","23:00:18","111","Building fire",5000,0,"08","MT","Mattapan","02126","429","Multifamily dwelling","28","","ASTORIA","","ST","","","","","",5000,1
"15400","22-0077700",0,"2022-11-11","06:24:42","111","Building fire",5000,0,"07","DO","Dorchester","02125","419","1 or 2 family dwelling","2","","COLUMBIA","","TER","","","","","",5000,1
"15442","22-0077776",0,"2022-11-11","12:03:09","112","Fires in structure other than in a building",1000,0,"08","DO","Dorchester","02124","938","Graded and cared-for plots of land","26","","BAILEY","","ST","","","","","",1000,1
"15471","22-0077830",0,"2022-11-11","15:48:02","131","Passenger vehicle fire",10000,0,"12","MT","Mattapan","02126","900","Outside or special property, Other","691","","WALK HILL","","ST","","","","","",10000,1
"15717","22-0077203",0,"2022-11-09","07:39:30","131","Passenger vehicle fire",5000,0,"03","CH","Charlestown","02129","960","Street, Other","17","","O'MEARA","","CT",": alias 17 OMEARA CT","","","","",5000,1
"15793","22-0077347",0,"2022-11-09","17:46:17","113","Cooking fire, confined to container",4000,3000,"07","DO","Dorchester","02122","419","1 or 2 family dwelling","31","","HENDRY","","ST","","","","","",7000,1
"15813","22-0077377",0,"2022-11-09","19:40:22","111","Building fire",250000,0,"12","DO","Dorchester","02124","419","1 or 2 family dwelling","31","","SENATOR BOLLING","","CIR","","","","","",250000,1
"15820","22-0077392",0,"2022-11-09","21:08:00","111","Building fire",2000,3000,"07","RX","Roxbury","02119","400","Residential, Other","10","","MOUNT PLEASANT","","AVE","","","","","",5000,1
"15953","22-0077090",0,"2022-11-08","17:23:47","131","Passenger vehicle fire",5000,1000,"10","HP","Hyde Park","02136","900","Outside or special property, Other","248","","RESERVATION","","RD","","","","","",6000,1
"15971","22-0077110",1,"2022-11-08","18:39:43","111","Building fire",15000,0,"12","","","02131","429","Multifamily dwelling","3923","","WASHINGTON","","ST","","","","","",15000,1
"15972","22-0077110",0,"2022-11-08","18:39:43","111","Building fire",725000,25000,"12","RS","Roslindale","02131","419","1 or 2 family dwelling","3927","","WASHINGTON","","ST","","","","","",750000,1
"16105","22-0076825",0,"2022-11-07","16:00:00","111","Building fire",3000,250,"09","RX","Roxbury","02120","429","Multifamily dwelling","71","","PRENTISS","","ST","","","","","",3250,1
"16140","22-0076879",0,"2022-11-07","20:19:08","111","Building fire",250000,50000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","108","","WOODROW","","AVE","","","","","",300000,1
"16141","22-0076879",2,"2022-11-07","20:19:08","131","Passenger vehicle fire",30000,0,"08","","","02124","965","Vehicle parking area","108","","WOODROW","","AVE","","","","","",30000,1
"16142","22-0076879",1,"2022-11-07","20:19:08","111","Building fire",25000,0,"08","","","02124","419","1 or 2 family dwelling","112","","WOODROW","","AVE","","","","","",25000,1
"16233","22-0076557",0,"2022-11-06","16:16:40","131","Passenger vehicle fire",15000,0,"08","MT","Mattapan","02126","962","Residential street, road or residential driveway","191","W","SELDEN","","ST","","","","","",15000,1
"16559","22-0076089",0,"2022-11-04","18:14:46","111","Building fire",20000,0,"07","RX","Roxbury","02119","429","Multifamily dwelling","20","","CLIFFORD","","ST","","","","","",20000,1
"16608","22-0075684",0,"2022-11-03","05:41:35","113","Cooking fire, confined to container",0,500,"04","BO","Boston","02116","429","Multifamily dwelling","70","","SAINT BOTOLPH","","ST",": #12-1565","","","","",500,1
"16614","22-0075694",0,"2022-11-03","08:14:43","113","Cooking fire, confined to container",0,500,"04","RX","Roxbury","02120","429","Multifamily dwelling","21","","HAMMOND","","ST","","","","","",500,1
"16669","22-0075789",0,"2022-11-03","14:40:23","131","Passenger vehicle fire",40000,0,"03","BO","Boston","02203","960","Street, Other","15","","SUDBURY","","ST","","","","","",40000,1
"16703","22-0075857",0,"2022-11-03","19:00:52","131","Passenger vehicle fire",6000,6000,"03","CH","Charlestown","02129","900","Outside or special property, Other","138","","MEDFORD","","ST","","","","","",12000,1
"16758","22-0075436",0,"2022-11-02","07:45:52","111","Building fire",300000,25000,"12","MT","Mattapan","02126","429","Multifamily dwelling","609","","MORTON","","ST","","","","","",325000,1
"17358","22-0074814",0,"2022-10-30","22:34:38","131","Passenger vehicle fire",5000,0,"04","","","02115","921","Bridge, trestle","","","MASS AV BRIDGE","","",": @BR-HARVARD (MASS AVE)","","","","",5000,1
"17504","22-0074513",0,"2022-10-29","19:20:40","111","Building fire",2000,0,"08","DO","Dorchester","02124","213","Elementary school, including kindergarten","9","","PEACEVALE","","RD","","","","","",2000,1
"17698","22-0073797",0,"2022-10-27","01:06:57","111","Building fire",10000,0,"08","MT","Mattapan","02126","429","Multifamily dwelling","26","","FESSENDEN","","ST","","","","","",10000,1
"17847","22-0074046",0,"2022-10-27","22:42:50","151","Outside rubbish, trash or waste fire",3000,6000,"09","JP","Jamaica Plain","02130","965","Vehicle parking area","30","","BICKFORD","","ST","","","","","",9000,1
"17974","22-0073722",0,"2022-10-26","18:27:14","111","Building fire",200000,50000,"10","HP","Hyde Park","02136","429","Multifamily dwelling","40","","MAPLE","","ST","","","","","",250000,1
"18038","22-0073300",0,"2022-10-25","02:02:08","118","Trash or rubbish fire, contained",5000,0,"03","CH","Charlestown","02129","429","Multifamily dwelling","25","","POLK","","ST","","","","","",5000,1
"18284","22-0073220",0,"2022-10-24","19:02:42","113","Cooking fire, confined to container",500,500,"11","BR","Allston-Brighton","02135","400","Residential, Other","2","","FIDELIS","","WAY",": #12-5197","","","","",1000,1
"18328","22-0072790",0,"2022-10-23","01:12:08","131","Passenger vehicle fire",25000,500,"06","DO","Dorchester","02125","961","Highway or divided highway","","","INTERSTATE 93","S","",": @SB I93 AT BOSTON ST BRG","","","","",25500,1
"18408","22-0072916",0,"2022-10-23","15:28:50","112","Fires in structure other than in a building",500,0,"11","BR","Allston-Brighton","02134","519","Food and beverage sales, grocery store","370","","WESTERN","","AVE",": @BRUEGGERS BAGELS - 370 WESTERN AVE, B","","","","",500,1
"18460","22-0072992",0,"2022-10-23","21:49:20","111","Building fire",75000,25000,"10","WR","West Roxbury","02132","429","Multifamily dwelling","124","","SPRING","","ST","","","","","",100000,1
"18520","22-0072574",0,"2022-10-22","08:55:23","131","Passenger vehicle fire",25000,0,"10","RS","Roslindale","02131","960","Street, Other","","","CENTRE","","ST","","","MONTCLAIR","","AVE",25000,1
"18607","22-0072728",0,"2022-10-22","19:43:55","111","Building fire",0,500,"11","BR","Allston-Brighton","02135","419","1 or 2 family dwelling","10","","BRACKETT","","ST","","","","","",500,1
"18635","22-0072775",0,"2022-10-22","23:44:52","112","Fires in structure other than in a building",3000,500,"11","BR","Allston-Brighton","02134","519","Food and beverage sales, grocery store","370","","WESTERN","","AVE",": @STAR MARKET - 370 WESTERN AVE, BR","","","","",3500,1
"18651","22-0072249",0,"2022-10-21","02:57:20","111","Building fire",675000,25000,"12","DO","Dorchester","02124","419","1 or 2 family dwelling","31","","BROOKVIEW","","ST","","","","","",700000,1
"18652","22-0072249",1,"2022-10-21","02:57:20","131","Passenger vehicle fire",10000,0,"12","","","02124","965","Vehicle parking area","31","","BROOKVIEW","","ST","","","","","",10000,1
"18677","22-0072287",0,"2022-10-21","08:52:30","111","Building fire",20000,5000,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","2010","","DORCHESTER","","AVE","","","","","",25000,1
"18725","22-0072363",0,"2022-10-21","13:51:18","131","Passenger vehicle fire",5000,500,"08","DO","Dorchester","02124","965","Vehicle parking area","489","","GALLIVAN","","BLVD",": @EAST BOSTON SAVINGS BANK - 489 GALLIV","","","","",5500,1
"18770","22-0072439",0,"2022-10-21","19:00:59","111","Building fire",500,500,"11","BR","Allston-Brighton","02134","400","Residential, Other","15","N","BEACON","","ST","","","","","",1000,1
"18823","22-0072012",0,"2022-10-20","07:34:03","131","Passenger vehicle fire",2000,0,"09","RX","Roxbury","02130","952","Railroad yard","245","","CENTRE","","ST",": @MBTA STA-JACKSON SQUARE","","","","",2000,1
"18946","22-0072211",0,"2022-10-20","22:03:54","111","Building fire",2500,2000,"11","BR","Allston-Brighton","02134","419","1 or 2 family dwelling","23","","GORDON","","ST","","","","","",4500,1
"18985","22-0071776",0,"2022-10-19","09:04:49","131","Passenger vehicle fire",20000,0,"04","BO","Boston","02115","900","Outside or special property, Other","","","MASSACHUSETTS","","AVE","","","BELVIDERE","","ST",20000,1
"18987","22-0071779",0,"2022-10-19","09:18:50","131","Passenger vehicle fire",15000,1000,"09","JP","Jamaica Plain","02130","900","Outside or special property, Other","8","","ZAMORA","","ST","","","","","",16000,1
"19255","22-0071715",0,"2022-10-18","22:02:06","111","Building fire",0,500,"09","RX","Roxbury","02119","400","Residential, Other","50","","LINWOOD","","ST","","","","","",500,1
"19384","22-0071404",0,"2022-10-17","17:57:42","131","Passenger vehicle fire",15000,0,"04","BO","Boston","02118","963","Street or road in commercial area","","","HARRISON","","AVE","","","HERALD","","ST",15000,1
"19432","22-0070963",0,"2022-10-16","00:59:39","111","Building fire",1000,5000,"09","RX","Roxbury","02120","400","Residential, Other","75","","SAINT ALPHONSUS","","ST","","","","","",6000,1
"19447","22-0070992",0,"2022-10-16","03:47:05","131","Passenger vehicle fire",30000,0,"01","EB","East Boston","02128","962","Residential street, road or residential driveway","","","SARATOGA","","ST","","","MARION","","ST",30000,1
